ranking,comment_time,usefule_num
5,2016/9/5,12794
5,2016/9/7,11768
2,2016/9/17,6120
1,2016/9/1,5502
5,2016/8/27,8111
5,2016/10/3,4034
3,2016/9/8,2784
3,2016/9/1,2515
2,2016/9/11,2506
5,2016/8/28,2832
2,2016/9/1,1798
5,2016/9/7,2612
2,2016/11/20,1564
2,2016/9/7,1733
5,2016/9/28,1298
4,2016/9/8,1138
4,2016/9/8,1152
2,2016/9/14,1153
2,2016/9/11,829
5,2016/8/27,1300
3,2016/9/26,1176
4,2016/9/3,876
5,2016/9/9,950
3,2016/11/21,711
3,2016/11/28,563
3,2016/11/20,376
3,2016/12/1,304
3,2016/9/28,434
3,2016/11/21,342
3,2016/9/10,259
5,2016/12/2,322
3,2016/12/5,363
5,2016/9/25,400
3,2016/9/16,559
5,2016/8/30,445
3,2016/9/25,355
4,2016/12/4,190
4,2016/9/20,210
5,2016/9/3,335
5,2016/12/5,156
,2016/8/26,292
5,2016/8/29,441
3,2016/9/1,268
4,2016/9/10,183
5,2016/9/16,212
3,2016/9/9,280
3,2016/11/28,193
3,2016/9/7,273
3,2016/11/22,178
3,2016/12/2,226
3,2016/12/3,131
3,2016/10/3,156
5,2016/9/8,198
4,2016/11/23,101
3,2016/9/18,275
,2016/10/17,71
4,2016/9/18,89
3,2016/12/8,90
4,2016/9/9,190
5,2016/9/23,157
4,2016/12/2,82
3,2016/11/28,117
5,2016/8/30,130
,2016/9/28,133
3,2016/12/7,56
4,2016/12/3,40
5,2016/10/3,126
2,2016/12/5,63
4,2016/9/11,86
4,2016/9/20,61
3,2016/12/2,108
5,2016/12/4,56
5,2016/9/5,79
3,2016/12/2,132
2,2016/12/3,68
5,2016/11/22,53
5,2016/11/11,68
3,2016/9/9,82
5,2016/12/2,66
5,2016/9/9,62
5,2016/11/23,48
5,2016/9/12,50
5,2016/11/11,66
4,2016/12/2,32
,2016/12/13,23
4,2016/9/15,55
3,2016/10/5,89
5,2016/12/6,38
5,2016/10/24,48
3,2016/12/13,28
4,2016/9/22,29
4,2016/9/17,30
4,2016/11/22,25
5,2016/12/2,33
4,2016/12/4,27
4,2016/9/8,49
3,2016/12/5,29
5,2016/9/1,76
3,2016/12/2,66
3,2016/12/12,33
4,2016/12/6,21
3,2016/11/8,71
4,2016/12/8,24
3,2016/9/20,49
4,2016/11/1,15
3,2016/12/2,34
2,2016/12/3,76
5,2016/12/2,40
4,2016/12/5,25
2,2016/11/30,113
5,2016/12/5,37
5,2016/9/21,70
5,2016/12/2,25
3,2016/12/11,22
5,2016/11/12,47
3,2017/6/23,16
5,2016/12/2,54
5,2016/11/12,23
3,2016/12/27,55
4,2016/9/20,30
5,2016/12/4,26
3,2016/12/3,41
5,2016/9/22,43
4,2016/11/13,29
3,2016/12/3,22
5,2016/12/4,33
3,2016/11/8,55
5,2016/9/15,39
5,2016/11/23,33
5,2016/11/25,16
5,2016/12/2,25
4,2016/12/3,16
3,2016/10/21,42
3,2016/12/7,25
4,2016/12/6,8
3,2016/10/15,22
3,2016/12/2,26
3,2016/12/9,15
4,2016/12/3,18
3,2016/12/3,21
3,2016/12/3,14
4,2016/12/3,21
5,2016/9/4,59
3,2016/12/11,20
5,2016/12/2,23
4,2016/12/4,16
3,2016/10/4,14
4,2016/12/2,23
3,2016/12/3,33
5,2016/12/3,15
3,2016/9/16,30
4,2016/12/2,14
5,2016/12/2,31
5,2016/9/5,55
4,2016/12/3,16
5,2016/8/28,73
3,2016/11/24,23
5,2016/12/2,12
5,2016/12/3,11
5,2016/12/30,12
4,2016/12/5,10
5,2016/12/3,17
3,2016/11/17,29
4,2016/12/2,26
3,2016/12/4,27
4,2016/8/26,38
3,2016/12/4,9
5,2016/12/3,11
5,2016/12/1,24
3,2016/12/4,35
3,2016/9/12,33
4,2016/11/21,14
,2016/10/2,15
3,2016/10/11,11
3,2016/12/8,13
4,2016/9/17,17
4,2016/9/10,13
4,2016/12/3,6
3,2016/12/3,16
5,2016/9/24,9
,2016/12/13,5
4,2016/10/18,12
3,2016/10/13,48
4,2016/9/26,16
3,2016/12/15,8
5,2016/9/11,18
5,2017/1/2,9
5,2016/12/3,10
4,2016/12/5,6
2,2016/11/28,37
,2016/12/3,4
4,2016/12/31,6
3,2016/12/2,33
5,2016/9/14,11
,2017/1/3,5
3,2016/12/6,23
3,2016/11/17,7
5,2016/12/8,5
3,2016/12/3,25
3,2016/12/28,12
3,2016/9/6,12
4,2016/12/3,12
3,2016/12/5,9
4,2016/11/22,14
5,2016/12/2,8
5,2016/12/3,21
5,2016/10/4,31
4,2016/9/15,17
4,2016/12/5,5
5,2016/9/8,36
2,2016/12/3,47
5,2016/9/13,16
5,2016/12/4,7
5,2016/12/7,7
5,2016/12/24,22
5,2016/11/23,10
3,2016/12/2,22
2,2016/12/10,20
2,2016/12/7,12
4,2016/12/8,12
2,2016/12/6,12
4,2016/12/4,14
5,2016/12/9,9
4,2016/12/4,6
,2016/12/3,9
5,2016/12/20,7
3,2016/9/17,12
2,2016/12/3,11
3,2016/12/21,5
4,2017/4/12,5
4,2016/9/9,16
5,2016/9/13,14
3,2016/11/21,11
5,2016/12/4,10
5,2016/12/5,7
3,2016/12/27,6
4,2016/12/4,5
5,2016/12/4,4
3,2016/12/5,11
3,2016/9/11,29
5,2016/12/2,3
,2016/12/4,8
4,2016/10/6,11
5,2016/9/8,14
5,2016/12/5,9
4,2017/2/7,7
4,2016/12/4,3
5,2016/12/3,5
5,2016/9/3,36
4,2016/12/6,13
4,2016/12/10,8
4,2016/12/3,5
4,2016/9/8,23
3,2016/9/13,24
5,2016/12/3,5
4,2017/1/5,1
2,2016/12/2,17
3,2016/12/7,8
5,2016/10/5,13
3,2016/9/20,23
5,2016/11/21,13
3,2016/12/18,3
5,2016/12/5,8
4,2016/12/6,2
4,2016/10/23,5
